X,Y,OBJECTID,PARK_NAME,AGE_RANGE,DATE_INSTALLED,COMMENTS,DATA_SOURCE
-75.073318113476,40.011080460187,2640,Carmella A DiTizio Playground,5_12_YEARS,2020/08/01 00:00:00+00,Installed during renoations 8/2021,Nearmap 2023
-75.2408492617337,39.9820701805294,2641,Ernest L Tustin Recreation Center,5_12_YEARS,, ,Nearmap 2023
-75.2207831700617,40.02541799162,2642,Pretzel Park,5_12_YEARS,2019/03/01 00:00:00+00, ,Nearmap 2023
-75.1635534939411,39.9385552111124,2643,Hawthorne Cultural Center,5_12_YEARS,, ,Nearmap 2023
-75.228103462482,40.0416878010287,2644,Joseph V Kelly Memorial Playground,5_12_YEARS,, ,Nearmap 2023
-75.221378788757,39.9537590629828,2645,Ben Barkan Park,UNKNOWN,, ,Nearmap 2023
-75.1596927083079,40.0500333310874,2646,Lonnie Young Recreation Center of East Germantown,5_12_YEARS,, ,Nearmap 2023
-75.138068629626,39.9891608415226,2647,Frank S Nelson Jr Memorial Recreation Center,5_12_YEARS,2020/01/01 00:00:00+00,Installed between 2019-2020.,Nearmap 2023
-75.0765099095515,40.0565918415784,2648,Thomas E Jardel Memorial Field,2_5_YEARS,, ,Nearmap 2023
-75.2459833616506,39.9434896194243,2649,Robert Wilson III Park,UNKNOWN,, ,Nearmap 2023
-75.1612627455721,40.0063895790837,2650,Jerome Brown Playground,5_12_YEARS,, ,Nearmap 2023
-75.1807340431848,40.0254497022063,2651,Cloverly Park,UNKNOWN,, ,Nearmap 2023
-75.178602773431,39.9153480576142,2652,Commodore John Barry Playground,5_12_YEARS,, ,Nearmap 2023
-75.1232195501238,40.0493906622862,2653,Helen G Sturgis Playground,5_12_YEARS,, ,2024 October Site Visits
-75.1875942754625,40.0087951186384,2654,Harry S McDevitt Playground,5_12_YEARS,2013/01/01 00:00:00+00, ,Nearmap 2023
-75.1329399087626,39.991690296768,2655,Gerald J Maguire Playground,UNKNOWN,, ,Nearmap 2023
-75.043977836472,40.028090785473,2656,Disston Recreation Center,2_5_YEARS,2019/11/01 00:00:00+00,Installed during 2019/2020 renovations,Nearmap 2023
-75.2291321971892,40.034025931778,2657,Lonnie Cohen Recreation Center,5_12_YEARS,,Next to Recreation Center,Nearmap 2023
-75.1741025199703,39.9379305689498,2658,Charles H Chew Playground,5_12_YEARS,, ,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1236885881551,39.9840362238567,2659,Black Coyle and McBride Playground,5_12_YEARS,2022/12/01 00:00:00+00,Site Renovated Fall 2021.,Nearmap 2023
-75.1714469473726,39.9420291560831,2660,Marian Anderson Recreation Center,5_12_YEARS,2018/01/01 00:00:00+00, ,Nearmap 2023
-75.2062848190461,39.9992943418943,2661,Ford Road Playground,2_12_YEARS,,West Fairmount Park,Nearmap 2023
-75.1495903752684,39.9969024345408,2662,12th and Cambria Playground,5_12_YEARS,2011/01/01 00:00:00+00, ,Nearmap 2023
-75.0612426039966,40.0292537666661,2663,Lower Mayfair Playground,5_12_YEARS,, ,Nearmap 2023
-75.1372773906485,39.96706360172,2664,Tip Top Playground,5_12_YEARS,, ,Nearmap 2023
-75.1842671314907,39.9793496198613,2665,Howard McCall Sr Playground,5_12_YEARS,, ,Nearmap 2023
-75.1181466672171,39.9765542437203,2666,Webb Street Play Lot,2_5_YEARS,, ,Nearmap 2023
-75.1690436629788,40.0455495557289,2667,Waterview Recreation Center,5_12_YEARS,, ,Nearmap 2023
-75.2204737415892,40.0367469178669,2668,Susan Gorgas Park,5_12_YEARS,, ,Nearmap 2023
-75.1869017997817,39.9948660982055,2669,Strawberry Mansion Playground,UNKNOWN,, ,Nearmap 2023
-75.1322727630713,39.9774530717781,2670,Dan Shissler Recreation Center,2_5_YEARS,, ,Nearmap 2023
-75.2009696876699,39.9658420435071,2671,Norman (Butch) Ellis Playground,5_12_YEARS,, ,Nearmap 2023
-75.0886676067297,40.0170665537836,2672,Overington Park,5_12_YEARS,, ,Nearmap 2023
-75.1598083149051,39.9437990665584,2673,Charles T Mitchell Jr (Seger) Park,5_12_YEARS,2012/01/01 00:00:00+00,"Building is named for Charles Seger (1977); Site is named for Charles T Mitchell Jr (1976).",Nearmap 2023
-75.1828402059283,39.9359550693686,2674,Wharton Square,5_12_YEARS,2014/01/01 00:00:00+00, ,Nearmap 2023
-74.9720366599354,40.096416849212,2675,Eileen Fitzpatrick Playground,5_12_YEARS,2022/09/23 00:00:00+00, ,2024 September Site Visits
-75.1799047456167,40.0332677956458,2676,Price Street Play Lot,2_5_YEARS,, ,Nearmap 2023
-75.0243258347878,40.0482137648259,2677,James J Ramp Playground,5_12_YEARS,, ,Nearmap 2023
-75.1725965151147,39.923237444394,2678,Thomas I Guerin Recreation Center,5_12_YEARS,, ,Nearmap 2023
-75.0498874028574,40.0282926661409,2679,Joseph F Vogt Playground,5_12_YEARS,2008/01/01 00:00:00+00, ,Nearmap 2023
-75.0628791811814,40.016068294458,2680,Victor J Moss Memorial Field,5_12_YEARS,2019/10/01 00:00:00+00,Installed during renovations 10/2019,Nearmap 2023
-75.2100764028395,39.9422850736278,2681,48th and Woodland Playground,5_12_YEARS,, ,Nearmap 2023
-75.0763048699927,40.0142394980842,2682,William (Billy) Gambrel Playground,5_12_YEARS,2009/01/01 00:00:00+00, ,Nearmap 2023
-75.1236168485949,39.9944888364794,2683,Marian Winfield Hissey Recreation Center,5_12_YEARS,2016/01/01 00:00:00+00, ,Nearmap 2023
-75.1988296685942,39.9733075284736,2684,Clayborne and Lewis Playground,5_12_YEARS,2004/01/01 00:00:00+00, ,Nearmap 2023
