Site Number,Pb_Content,Longitude,Latitude,
384,100,-75.198834,39.960045,
385,48,-75.198817,39.959965,
386,128,-75.178896,39.955448,
387,89,-75.173840,39.954967,
388,208,-75.173840,39.938083,
389,144,-75.198074,39.941810,
390,60,-75.198153,39.942388,
391,106,-75.198721,39.942512,
392,49,-75.199636,39.942824,
393,143,-75.199654,39.942793,
394,75,-75.203514,39.942059,
395,173,-75.202069,39.942993,
396,82,-75.204277,39.940900,
397,198,-75.203436,39.948599,
398,70,-75.204392,39.948218,
399,228,-75.205394,39.947167,
400,542,-75.204847,39.946120,
401,249,-75.204451,39.945205,
402,158,-75.202259,39.944791,
403,211,-75.200466,39.945517,
404,139,-75.200296,39.946686,
405,32,-75.200663,39.947444,
406,141,-75.201634,39.949110,
407,78,-75.197493,39.959948,
408,231,-75.198264,39.959518,
409,143,-75.161727,40.006293,
410,146,-75.161832,40.006173,
411,71,-75.161056,40.006521,
412,84,-75.161647,40.007416,
413,216,-75.162039,40.007801,
414,1513,-75.161672,40.008017,
415,289,-75.161743,40.008093,
416,84,-75.162300,40.008028,
417,621,-75.165393,40.006442,
418,36,-75.165733,40.002164,
419,89,-75.165641,40.001849,
420,195,-75.167542,39.994094,
421,66,-75.167354,39.993730,
422,147,-75.167354,39.993730,
423,702,-75.117759,39.977291,
424,128,-75.117815,39.977216,
425,1083,-75.119333,39.977115,
426,3029,-75.119429,39.976857,
427,10,-75.118299,39.980853,
428,81,-75.118385,39.980843,
429,119,-75.118557,39.980425,
430,154,-75.118807,39.979718,
431,19,-75.119316,39.980709,
432,817,-75.118705,39.980926,
433,99,-75.128025,39.966462,
434,218,-75.127900,39.966604,
435,237,-75.128231,39.966757,
436,61,-75.128253,39.966279,
437,118,-75.128501,39.966043,
438,226,-75.128746,39.965960,
439,142,-75.129878,39.966010,
440,158,-75.129293,39.966285,
441,191,-75.137052,39.967069,
442,106,-75.178200,39.978229,
443,50,-75.178553,39.978060,
444,98,-75.178666,39.978120,
445,104,-75.178619,39.978135,
446,52,-75.179075,39.977884,
447,32,-75.178835,39.977319,
448,176,-75.178656,39.977621,
449,179,-75.179694,39.977431,
450,132,-75.179969,39.977550,
451,254,-75.179685,39.978183,
452,60,-75.187534,39.977016,
453,107,-75.187906,39.976847,
454,54,-75.187813,39.977165,
455,107,-75.187872,39.977132,
456,84,-75.120128,39.978265,
457,914,-75.120170,39.978248,
458,54,-75.118302,39.976812,
459,34,-75.118576,39.976689,
460,162,-75.151044,39.966342,
461,178,-75.151382,39.966474,
462,233,-75.151274,39.966442,
463,155,-75.151320,39.966552,
464,475,-75.151434,39.966397,
465,213,-75.151423,39.966426,
466,165,-75.151307,39.966348,
467,237,-75.151222,39.966062,
468,116,-75.149957,39.968959,
469,86,-75.038618,40.024122,
470,139,-75.174400,40.070900,
471,129,-75.149178,40.033533,
472,221,-75.148700,40.055500,
473,961,-75.173426,40.062752,
474,61,-75.103257,40.050089,
475,406,-75.154758,40.067199,
476,1866,-75.174300,40.071000,
477,142,-75.105650,40.042640,
478,505,-75.151990,40.068770,
479,96,-75.156600,40.051800,
480,1869,-75.172800,40.046300,
481,277,-75.105950,40.042640,
482,189,-75.105950,40.042600,
483,291,-75.152900,40.061900,
484,67,-75.179900,40.072100,
485,113,-75.174685,40.070869,
486,175,-75.210114,39.953700,
487,153,-75.105950,40.042640,
488,280,-75.152650,40.070047,
489,1917,-75.134114,40.031531,
490,72,-75.169660,40.056497,
491,970,-75.086400,40.033000,
492,510,-75.166800,40.021000,
493,106,-75.171000,40.072100,
494,290,-75.166201,40.067372,
495,214,-75.164331,40.032572,
496,307,-75.154100,40.041700,
497,61,-75.098894,40.053315,
498,218,-75.105950,40.042640,
499,150,-75.147626,40.048441,
500,661,-75.178900,40.067800,
501,125,-75.103300,40.010500,
502,60,-75.142233,40.025203,
503,116,-75.171260,40.025730,
504,4685,-75.202013,40.065078,
505,50,-75.180900,40.071900,
506,158,-75.179299,39.975178,
507,109,-75.171900,40.059500,
508,345,-75.208410,40.024226,
509,155,-75.149098,40.038983,
510,221,-75.124613,39.988841,
511,89,-75.184923,40.024481,
512,77,-75.123768,39.988063,
513,361,-75.125220,39.989426,
514,263,-75.087061,40.019944,
515,115,-75.166200,40.068900,
516,140,-75.070550,40.001988,
517,561,-75.208410,40.044226,
518,1197,-75.208411,40.044226,
519,707,-75.089153,40.017289,
520,206,-75.172526,39.923839,
521,277,-75.208410,40.044226,
522,100,-75.128964,40.052693,
523,297,-75.175200,40.052800,
524,456,-75.208410,40.044226,
525,104,-75.087872,40.017361,
526,289,-75.110569,39.983831,
527,18064,-75.188096,39.992074,
528,15069,-75.188096,39.992074,
529,14988,-75.188096,39.992074,
530,11241,-75.188096,39.992074,
531,9883,-75.129705,39.973230,
532,7700,-75.127690,39.975100,
533,7665,-75.188096,39.992074,
534,7373,-75.069986,40.039007,
535,7015,-75.188096,39.992074,
536,5341,-75.220965,39.949689,
537,4805,-75.129822,39.977514,
538,4507,-75.069986,40.039007,
539,4448,-75.212260,39.946495,
540,4422,-75.126722,39.986154,
541,4312,-75.203451,39.969468,
542,3600,-75.134144,40.052596,
543,3573,-75.132540,39.971178,
544,3425,-75.126132,39.970467,
545,3392,-75.212260,39.946495,
546,3208,-75.126132,39.970467,
547,3200,-75.176088,39.964306,
548,3100,-75.191260,39.962151,
549,3018,-75.117213,39.978477,
550,2904,-75.117204,39.977289,
551,2900,-75.194299,39.961823,
552,2774,-75.121004,39.977739,
